Name,Median Household Income
"Hoke County, North Carolina",40902
"Iredell County, North Carolina",55949
"Jackson County, North Carolina",40644
"Johnston County, North Carolina",52234
"Lee County, North Carolina",41834
"Lenoir County, North Carolina",35773
"Lincoln County, North Carolina",46884
"McDowell County, North Carolina",32861
"Macon County, North Carolina",42052
"Madison County, North Carolina",37266
"Martin County, North Carolina",36650
"Mecklenburg County, North Carolina",56883
"Montgomery County, North Carolina",37698
"Moore County, North Carolina",51547
"Nash County, North Carolina",42718
"New Hanover County, North Carolina",52685
"Northampton County, North Carolina",29712
"Onslow County, North Carolina",45832
"Orange County, North Carolina",61164
"Pasquotank County, North Carolina",42496
"Pender County, North Carolina",52482
"Person County, North Carolina",37989
"Pitt County, North Carolina",41453
"Polk County, North Carolina",46992
"Randolph County, North Carolina",42347
"Richmond County, North Carolina",29329
"Robeson County, North Carolina",31558
"Rockingham County, North Carolina",38241
"Rowan County, North Carolina",45320
"Rutherford County, North Carolina",35594
"Sampson County, North Carolina",40186
"Scotland County, North Carolina",35359
"Stanly County, North Carolina",44292
"Stokes County, North Carolina",40819
"Surry County, North Carolina",37337
"Transylvania County, North Carolina",47463
"Union County, North Carolina",71729
"Vance County, North Carolina",29303
"Wake County, North Carolina",70533
"Warren County, North Carolina",27957
"Watauga County, North Carolina",40083
"Wayne County, North Carolina",40361
"Wilkes County, North Carolina",40919
"Wilson County, North Carolina",41204
"Yadkin County, North Carolina",37059
"Burleigh County, North Dakota",65079
"Cass County, North Dakota",53728
"Grand Forks County, North Dakota",51264
"Morton County, North Dakota",70389
"Stark County, North Dakota",76948
"Stutsman County, North Dakota",57651
"Ward County, North Dakota",62631
"Williams County, North Dakota",97307
"Adams County, Ohio",34511
"Allen County, Ohio",50332
"Ashland County, Ohio",47197
"Ashtabula County, Ohio",44511
"Athens County, Ohio",36511
"Auglaize County, Ohio",60131
"Belmont County, Ohio",46113
"Brown County, Ohio",46766
"Butler County, Ohio",58785
"Carroll County, Ohio",57399
"Champaign County, Ohio",60951
"Clark County, Ohio",47963
"Clermont County, Ohio",62054
"Clinton County, Ohio",45667
"Columbiana County, Ohio",41887
"Coshocton County, Ohio",40381
"Crawford County, Ohio",38470
"Cuyahoga County, Ohio",45297
"Darke County, Ohio",51858
"Defiance County, Ohio",54670
"Delaware County, Ohio",96410
"Erie County, Ohio",47544
