Name,Life Expectancy
"Cuyahoga County, Ohio",76.2506203473945
"Dade County, Georgia",76.27499999999999
"Dade County, Missouri",77.25
"Daggett County, Utah",
"Dakota County, Minnesota",80.68333333333334
"Dakota County, Nebraska",78.30000000000001
"Dale County, Alabama",76.45384615384616
"Dallam County, Texas",77.25
"Dallas County, Alabama",72.47333333333334
"Dallas County, Arkansas",74.2
"Dallas County, Iowa",81.52666666666664
"Dallas County, Missouri",77.13333333333334
"Dallas County, Texas",77.7937768240343
"Dane County, Wisconsin",80.58624999999999
"Daniels County, Montana",81.4
"Danville city, Virginia",73.02142857142857
"Dare County, North Carolina",78.75555555555556
"Darke County, Ohio",78.60833333333333
"Darlington County, South Carolina",73.45333333333333
"Dauphin County, Pennsylvania",78.06923076923076
"Davidson County, North Carolina",75.946875
"Davidson County, Tennessee",76.50785714285719
"Davie County, North Carolina",77.57142857142857
"Daviess County, Indiana",76.97142857142856
"Daviess County, Kentucky",76.6
"Daviess County, Missouri",76.0
"Davis County, Iowa",80.5
"Davis County, Utah",80.31836734693877
"Davison County, South Dakota",80.875
"Dawes County, Nebraska",82.2
"Dawson County, Georgia",77.03333333333333
"Dawson County, Montana",80.36666666666666
"Dawson County, Nebraska",79.64285714285714
"Dawson County, Texas",78.425
"Day County, South Dakota",78.66666666666667
"De Baca County, New Mexico",76.5
"De Soto Parish, Louisiana",73.81428571428572
"De Witt County, Illinois",78.02000000000001
